GRID_OID,PLAIN,HILL,MOUNTAIN,PLAIN_M,HILL_M,MOUNTAIN_M,TOTAL_M
16145,6,9,0,0.4,0.6,0.0,1
16149,0,7,0,0.0,1.0,0.0,1
16150,0,17,0,0.0,1.0,0.0,1
16151,1,11,0,0.083333333,0.916666667,0.0,1
16152,0,1,0,0.0,1.0,0.0,1
16302,5,0,0,1.0,0.0,0.0,1
16303,20,0,0,1.0,0.0,0.0,1
16304,20,0,0,1.0,0.0,0.0,1
16305,14,6,0,0.7,0.3,0.0,1
16306,4,16,0,0.2,0.8,0.0,1
16307,0,17,3,0.0,0.85,0.15,1
16308,0,14,5,0.0,0.736842105,0.263157895,1
16309,2,18,0,0.1,0.9,0.0,1
16310,0,14,6,0.0,0.7,0.3,1
16311,0,20,0,0.0,1.0,0.0,1
16312,0,20,0,0.0,1.0,0.0,1
16313,0,3,17,0.0,0.15,0.85,1
16314,0,0,19,0.0,0.0,1.0,1
16315,0,0,20,0.0,0.0,1.0,1
16316,0,4,16,0.0,0.2,0.8,1
16317,0,9,11,0.0,0.45,0.55,1
16318,0,2,18,0.0,0.1,0.9,1
16319,0,8,11,0.0,0.421052632,0.578947368,1
16320,0,8,12,0.0,0.4,0.6,1
16321,0,1,19,0.0,0.05,0.95,1
16322,0,3,16,0.0,0.157894737,0.842105263,1
16323,0,0,20,0.0,0.0,1.0,1
16324,0,0,20,0.0,0.0,1.0,1
16325,0,0,20,0.0,0.0,1.0,1
16326,0,2,17,0.0,0.105263158,0.894736842,1
16327,0,4,15,0.0,0.210526316,0.789473684,1
16328,0,3,17,0.0,0.15,0.85,1
16329,0,13,7,0.0,0.65,0.35,1
16330,0,15,5,0.0,0.75,0.25,1
16331,0,7,13,0.0,0.35,0.65,1
16332,0,16,3,0.0,0.842105263,0.157894737,1
16333,1,19,0,0.05,0.95,0.0,1
16334,8,5,0,0.615384615,0.384615385,0.0,1
16338,2,9,0,0.181818182,0.818181818,0.0,1
16339,0,18,2,0.0,0.9,0.1,1
16340,0,6,14,0.0,0.3,0.7,1
16341,0,4,16,0.0,0.2,0.8,1
16342,0,1,19,0.0,0.05,0.95,1
16343,0,5,15,0.0,0.25,0.75,1
16344,0,5,14,0.0,0.263157895,0.736842105,1
16345,0,15,5,0.0,0.75,0.25,1
16346,0,21,0,0.0,1.0,0.0,1
16347,11,8,0,0.578947368,0.421052632,0.0,1
16348,15,4,0,0.789473684,0.210526316,0.0,1
16349,10,9,0,0.526315789,0.473684211,0.0,1
16354,0,20,0,0.0,1.0,0.0,1
16355,9,10,0,0.473684211,0.526315789,0.0,1
16356,20,0,0,1.0,0.0,0.0,1
16357,7,12,0,0.368421053,0.631578947,0.0,1
16358,18,1,0,0.947368421,0.052631579,0.0,1
16359,13,7,0,0.65,0.35,0.0,1
16360,2,18,0,0.1,0.9,0.0,1
16361,1,19,0,0.05,0.95,0.0,1
16362,5,12,0,0.294117647,0.705882353,0.0,1
16368,0,6,0,0.0,1.0,0.0,1
16370,4,14,0,0.222222222,0.777777778,0.0,1
16371,12,6,0,0.666666667,0.333333333,0.0,1
16372,4,10,1,0.266666667,0.666666667,0.066666667,1
16373,0,11,8,0.0,0.578947368,0.421052632,1
16374,0,16,5,0.0,0.761904762,0.238095238,1
16375,3,9,0,0.25,0.75,0.0,1
16519,3,6,0,0.333333333,0.666666667,0.0,1
16520,4,3,0,0.571428571,0.428571429,0.0,1
16532,9,0,0,1.0,0.0,0.0,1
16533,20,0,0,1.0,0.0,0.0,1
16534,19,0,0,1.0,0.0,0.0,1
16535,14,6,0,0.7,0.3,0.0,1
16536,4,13,3,0.2,0.65,0.15,1
16537,0,20,0,0.0,1.0,0.0,1
16538,0,20,0,0.0,1.0,0.0,1
16539,3,17,0,0.15,0.85,0.0,1
16540,2,15,2,0.105263158,0.789473684,0.105263158,1
16541,7,13,0,0.35,0.65,0.0,1
16542,0,18,1,0.0,0.947368421,0.052631579,1
16543,0,8,12,0.0,0.4,0.6,1
16544,0,2,17,0.0,0.105263158,0.894736842,1
16545,0,1,18,0.0,0.052631579,0.947368421,1
16546,0,2,18,0.0,0.1,0.9,1
16547,0,8,12,0.0,0.4,0.6,1
16548,0,3,17,0.0,0.15,0.85,1
16549,0,3,17,0.0,0.15,0.85,1
16550,0,0,20,0.0,0.0,1.0,1
16551,0,2,18,0.0,0.1,0.9,1
16552,0,0,20,0.0,0.0,1.0,1
16553,0,0,19,0.0,0.0,1.0,1
16554,0,2,18,0.0,0.1,0.9,1
16555,0,1,19,0.0,0.05,0.95,1
16556,0,0,19,0.0,0.0,1.0,1
16557,0,6,14,0.0,0.3,0.7,1
16558,0,4,15,0.0,0.210526316,0.789473684,1
16559,0,11,8,0.0,0.578947368,0.421052632,1
16560,2,18,0,0.1,0.9,0.0,1
16561,3,12,0,0.2,0.8,0.0,1
16562,2,4,0,0.333333333,0.666666667,0.0,1
16567,0,5,0,0.0,1.0,0.0,1
16568,0,13,0,0.0,1.0,0.0,1
16569,0,10,0,0.0,1.0,0.0,1
16570,2,3,0,0.4,0.6,0.0,1
16571,0,6,0,0.0,1.0,0.0,1
16572,0,6,2,0.0,0.75,0.25,1
16573,1,15,0,0.0625,0.9375,0.0,1
16574,0,20,0,0.0,1.0,0.0,1
16575,13,7,0,0.65,0.35,0.0,1
16576,8,10,1,0.421052632,0.526315789,0.052631579,1
16577,0,10,10,0.0,0.5,0.5,1
16578,0,15,5,0.0,0.75,0.25,1
16579,0,19,0,0.0,1.0,0.0,1
16580,3,17,0,0.15,0.85,0.0,1
16581,19,1,0,0.95,0.05,0.0,1
16582,20,0,0,1.0,0.0,0.0,1
16583,10,9,0,0.526315789,0.473684211,0.0,1
