GRID_OID,ROCK,NON_ROCK,ROCK_S,NON_ROCK_S,TOTAL_S
5212,2,0,1.0,0.0,1
5213,1,0,1.0,0.0,1
5355,1,0,1.0,0.0,1
5441,1,0,1.0,0.0,1
5442,1,0,1.0,0.0,1
5583,1,0,1.0,0.0,1
5671,1,0,1.0,0.0,1
5683,2,0,1.0,0.0,1
5684,1,0,1.0,0.0,1
5912,4,0,1.0,0.0,1
5913,2,0,1.0,0.0,1
5914,3,0,1.0,0.0,1
6141,2,0,1.0,0.0,1
6142,1,0,1.0,0.0,1
6143,2,0,1.0,0.0,1
6144,1,0,1.0,0.0,1
6370,2,0,1.0,0.0,1
6371,2,0,1.0,0.0,1
6372,4,0,1.0,0.0,1
6373,2,0,1.0,0.0,1
6374,3,0,1.0,0.0,1
6599,1,0,1.0,0.0,1
6600,1,0,1.0,0.0,1
6601,2,0,1.0,0.0,1
6602,1,0,1.0,0.0,1
6603,0,2,0.0,1.0,1
6604,0,2,0.0,1.0,1
