MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|GR
10/01/2023 03:00:00 - 10/01/2023 04:00:00,59.27,EUR,
10/01/2023 04:00:00 - 10/01/2023 05:00:00,92.99,EUR,
10/01/2023 05:00:00 - 10/01/2023 06:00:00,108.61,EUR,
10/01/2023 06:00:00 - 10/01/2023 07:00:00,145.69,EUR,
10/01/2023 07:00:00 - 10/01/2023 08:00:00,176.37,EUR,
10/01/2023 08:00:00 - 10/01/2023 09:00:00,183.06,EUR,
10/01/2023 09:00:00 - 10/01/2023 10:00:00,169.51,EUR,
10/01/2023 10:00:00 - 10/01/2023 11:00:00,162.44,EUR,
10/01/2023 11:00:00 - 10/01/2023 12:00:00,159.98,EUR,
10/01/2023 12:00:00 - 10/01/2023 13:00:00,146.19,EUR,
10/01/2023 13:00:00 - 10/01/2023 14:00:00,145.13,EUR,
10/01/2023 14:00:00 - 10/01/2023 15:00:00,162.46,EUR,
10/01/2023 15:00:00 - 10/01/2023 16:00:00,168.92,EUR,
10/01/2023 16:00:00 - 10/01/2023 17:00:00,166.2,EUR,
10/01/2023 17:00:00 - 10/01/2023 18:00:00,170.71,EUR,
10/01/2023 18:00:00 - 10/01/2023 19:00:00,167.74,EUR,
10/01/2023 19:00:00 - 10/01/2023 20:00:00,216.28,EUR,
10/01/2023 20:00:00 - 10/01/2023 21:00:00,228.74,EUR,
10/01/2023 21:00:00 - 10/01/2023 22:00:00,165.0,EUR,
10/01/2023 22:00:00 - 10/01/2023 23:00:00,155.0,EUR,
10/01/2023 23:00:00 - 11/01/2023 00:00:00,228.5,EUR,
11/01/2023 00:00:00 - 11/01/2023 01:00:00,269.12,EUR,
11/01/2023 01:00:00 - 11/01/2023 02:00:00,251.0,EUR,
11/01/2023 02:00:00 - 11/01/2023 03:00:00,251.0,EUR,
11/01/2023 03:00:00 - 11/01/2023 04:00:00,133.95,EUR,
11/01/2023 04:00:00 - 11/01/2023 05:00:00,270.58,EUR,
11/01/2023 05:00:00 - 11/01/2023 06:00:00,270.29,EUR,
11/01/2023 06:00:00 - 11/01/2023 07:00:00,270.12,EUR,
11/01/2023 07:00:00 - 11/01/2023 08:00:00,271.98,EUR,
11/01/2023 08:00:00 - 11/01/2023 09:00:00,271.92,EUR,
11/01/2023 09:00:00 - 11/01/2023 10:00:00,254.22,EUR,
11/01/2023 10:00:00 - 11/01/2023 11:00:00,186.71,EUR,
11/01/2023 11:00:00 - 11/01/2023 12:00:00,174.43,EUR,
11/01/2023 12:00:00 - 11/01/2023 13:00:00,177.45,EUR,
11/01/2023 13:00:00 - 11/01/2023 14:00:00,179.18,EUR,
