MTU (CET/CEST),Area,Day-ahead Price (EUR/MWh)
06/01/2024 09:00:00 - 06/01/2024 10:00:00,BZN|IT-North,100.5
06/01/2024 10:00:00 - 06/01/2024 11:00:00,BZN|IT-North,103.46
06/01/2024 11:00:00 - 06/01/2024 12:00:00,BZN|IT-North,103
06/01/2024 12:00:00 - 06/01/2024 13:00:00,BZN|IT-North,103.46
06/01/2024 13:00:00 - 06/01/2024 14:00:00,BZN|IT-North,100.5
06/01/2024 14:00:00 - 06/01/2024 15:00:00,BZN|IT-North,100.25
06/01/2024 15:00:00 - 06/01/2024 16:00:00,BZN|IT-North,103
06/01/2024 16:00:00 - 06/01/2024 17:00:00,BZN|IT-North,103
06/01/2024 17:00:00 - 06/01/2024 18:00:00,BZN|IT-North,111.65
06/01/2024 18:00:00 - 06/01/2024 19:00:00,BZN|IT-North,114.9
06/01/2024 19:00:00 - 06/01/2024 20:00:00,BZN|IT-North,116.97
06/01/2024 20:00:00 - 06/01/2024 21:00:00,BZN|IT-North,111.69
06/01/2024 21:00:00 - 06/01/2024 22:00:00,BZN|IT-North,110.06
06/01/2024 22:00:00 - 06/01/2024 23:00:00,BZN|IT-North,103
06/01/2024 23:00:00 - 07/01/2024 00:00:00,BZN|IT-North,88.5
07/01/2024 00:00:00 - 07/01/2024 01:00:00,BZN|IT-North,96.85
07/01/2024 01:00:00 - 07/01/2024 02:00:00,BZN|IT-North,96.58
07/01/2024 02:00:00 - 07/01/2024 03:00:00,BZN|IT-North,93.8
07/01/2024 03:00:00 - 07/01/2024 04:00:00,BZN|IT-North,93.8
07/01/2024 04:00:00 - 07/01/2024 05:00:00,BZN|IT-North,85.93
07/01/2024 05:00:00 - 07/01/2024 06:00:00,BZN|IT-North,84.3
07/01/2024 06:00:00 - 07/01/2024 07:00:00,BZN|IT-North,85
07/01/2024 07:00:00 - 07/01/2024 08:00:00,BZN|IT-North,102.27
07/01/2024 08:00:00 - 07/01/2024 09:00:00,BZN|IT-North,100.55
07/01/2024 09:00:00 - 07/01/2024 10:00:00,BZN|IT-North,101.19
07/01/2024 10:00:00 - 07/01/2024 11:00:00,BZN|IT-North,96
07/01/2024 11:00:00 - 07/01/2024 12:00:00,BZN|IT-North,96
07/01/2024 12:00:00 - 07/01/2024 13:00:00,BZN|IT-North,95.65
07/01/2024 13:00:00 - 07/01/2024 14:00:00,BZN|IT-North,88
07/01/2024 14:00:00 - 07/01/2024 15:00:00,BZN|IT-North,84.34
07/01/2024 15:00:00 - 07/01/2024 16:00:00,BZN|IT-North,88.32
07/01/2024 16:00:00 - 07/01/2024 17:00:00,BZN|IT-North,97.95
07/01/2024 17:00:00 - 07/01/2024 18:00:00,BZN|IT-North,108.87
07/01/2024 18:00:00 - 07/01/2024 19:00:00,BZN|IT-North,109.49
07/01/2024 19:00:00 - 07/01/2024 20:00:00,BZN|IT-North,110.53
07/01/2024 20:00:00 - 07/01/2024 21:00:00,BZN|IT-North,110
07/01/2024 21:00:00 - 07/01/2024 22:00:00,BZN|IT-North,109
07/01/2024 22:00:00 - 07/01/2024 23:00:00,BZN|IT-North,102.47
07/01/2024 23:00:00 - 08/01/2024 00:00:00,BZN|IT-North,93.8
08/01/2024 00:00:00 - 08/01/2024 01:00:00,BZN|IT-North,87.6
08/01/2024 01:00:00 - 08/01/2024 02:00:00,BZN|IT-North,85.28
08/01/2024 02:00:00 - 08/01/2024 03:00:00,BZN|IT-North,85.28
08/01/2024 03:00:00 - 08/01/2024 04:00:00,BZN|IT-North,90.79
08/01/2024 04:00:00 - 08/01/2024 05:00:00,BZN|IT-North,93.8
08/01/2024 05:00:00 - 08/01/2024 06:00:00,BZN|IT-North,90.79
08/01/2024 06:00:00 - 08/01/2024 07:00:00,BZN|IT-North,107.46
08/01/2024 07:00:00 - 08/01/2024 08:00:00,BZN|IT-North,114.18
08/01/2024 08:00:00 - 08/01/2024 09:00:00,BZN|IT-North,125.5
08/01/2024 09:00:00 - 08/01/2024 10:00:00,BZN|IT-North,123
08/01/2024 10:00:00 - 08/01/2024 11:00:00,BZN|IT-North,115.38
08/01/2024 11:00:00 - 08/01/2024 12:00:00,BZN|IT-North,112.22
08/01/2024 12:00:00 - 08/01/2024 13:00:00,BZN|IT-North,108.55
08/01/2024 13:00:00 - 08/01/2024 14:00:00,BZN|IT-North,108.3
08/01/2024 14:00:00 - 08/01/2024 15:00:00,BZN|IT-North,110.97
08/01/2024 15:00:00 - 08/01/2024 16:00:00,BZN|IT-North,115.2
08/01/2024 16:00:00 - 08/01/2024 17:00:00,BZN|IT-North,122
08/01/2024 17:00:00 - 08/01/2024 18:00:00,BZN|IT-North,130.1
08/01/2024 18:00:00 - 08/01/2024 19:00:00,BZN|IT-North,129.99
08/01/2024 19:00:00 - 08/01/2024 20:00:00,BZN|IT-North,122.01
08/01/2024 20:00:00 - 08/01/2024 21:00:00,BZN|IT-North,114.18
08/01/2024 21:00:00 - 08/01/2024 22:00:00,BZN|IT-North,107.46
08/01/2024 22:00:00 - 08/01/2024 23:00:00,BZN|IT-North,102.9
08/01/2024 23:00:00 - 09/01/2024 00:00:00,BZN|IT-North,91.75
